file_name;dt;sizes;res
orient_express_input.txt;640;256 64 ;0.9286161552911709
orient_express_input.txt;640;128 32 ;0.885725661955007
orient_express_input.txt;768;32 ;0.6660678194475634
orient_express_input.txt;768;64 ;0.7991019308486753
orient_express_input.txt;768;128 ;0.8884672990514229
orient_express_input.txt;768;256 ;0.9410893707033315
orient_express_input.txt;768;64 32 ;0.7991019308486753
orient_express_input.txt;768;128 64 32 ;0.8870501445518891
orient_express_input.txt;768;128 64 ;0.8870501445518891
orient_express_input.txt;768;256 128 64 ;0.9379150416359229
orient_express_input.txt;768;256 128 ;0.9394995248653786
orient_express_input.txt;768;256 64 ;0.9363358939282332
orient_express_input.txt;768;128 32 ;0.8856375037324574
orient_express_input.txt;896;32 ;0.6660179640718563
orient_express_input.txt;896;64 ;0.7990301724137931
orient_express_input.txt;896;128 ;0.8883785942492013
orient_express_input.txt;896;256 ;0.9330956375838926
orient_express_input.txt;896;64 32 ;0.7990301724137931
orient_express_input.txt;896;128 64 32 ;0.8869617224880383
orient_express_input.txt;896;128 64 ;0.8869617224880383
orient_express_input.txt;896;256 128 64 ;0.9315326633165829
orient_express_input.txt;896;256 128 ;0.9330956375838926
orient_express_input.txt;896;256 64 ;0.9315326633165829
orient_express_input.txt;896;128 32 ;0.8855493630573248
orient_express_input.txt;1024;32 ;0.6659681161589701
orient_express_input.txt;1024;64 ;0.7989584268654036
orient_express_input.txt;1024;128 ;0.8882899071578317
orient_express_input.txt;1024;256 ;0.9408903457756159
orient_express_input.txt;1024;64 32 ;0.7989584268654036
orient_express_input.txt;1024;128 64 32 ;0.8868733180504336
orient_express_input.txt;1024;128 64 ;0.8868733180504336
orient_express_input.txt;1024;256 128 64 ;0.9377173569396143
orient_express_input.txt;1024;256 128 ;0.9393011717512931
orient_express_input.txt;1024;256 64 ;0.9361388742766965
orient_express_input.txt;1024;128 32 ;0.8854612399243705
